regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,0,0.000000,,,,,,,,
informative,520,0.346667,0.700000,0.531474,0.015607,0.008613,0.024019,0.009162,0.007872,0.010671
saturated,980,0.653333,1.000000,0.978231,0.003109,0.001446,0.004591,0.000668,0.000594,0.000737
aggregate,1500,1.000000,0.896000,0.823356,0.005367,0.002714,0.008277,0.003612,0.003074,0.004277
