regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,1478,0.985333,0.000000,0.030424,0.001806,0.000427,0.003374,0.000839,0.000776,0.000906
informative,22,0.014667,0.000000,0.175758,0.108753,0.100252,0.117801,0.012298,0.010456,0.014486
saturated,0,0.000000,,,,,,,,
aggregate,1500,1.000000,0.000000,0.032556,0.000185,0.000066,0.001942,0.001007,0.000914,0.001101
