regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,68,0.045333,0.000000,0.108333,0.140240,0.124835,0.161039,0.026322,0.016791,0.043670
informative,605,0.403333,0.267769,0.391240,0.027167,0.021124,0.032347,0.006044,0.005035,0.007423
saturated,827,0.551333,1.000000,0.935711,0.017371,0.014968,0.019991,0.001908,0.001715,0.002084
aggregate,1500,1.000000,0.659333,0.678600,0.007332,0.004729,0.011117,0.004683,0.004005,0.005719
