regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,478,0.318667,0.000000,0.070293,0.012183,0.008124,0.016433,0.002145,0.001616,0.002995
informative,874,0.582667,0.930206,0.675324,0.019275,0.015827,0.025051,0.006468,0.005699,0.007555
saturated,148,0.098667,1.000000,0.900676,0.086597,0.078398,0.095513,0.010411,0.008640,0.012338
aggregate,1500,1.000000,0.640667,0.504756,0.004770,0.002978,0.008589,0.005479,0.004936,0.006228
