regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,84,0.056000,0.000000,0.112698,0.114631,0.105354,0.125515,0.015596,0.013108,0.018078
informative,1390,0.926667,0.094964,0.339233,0.011597,0.008372,0.015643,0.006813,0.006261,0.007383
saturated,26,0.017333,1.000000,0.898718,0.122999,0.101960,0.150127,0.018989,0.012781,0.025164
aggregate,1500,1.000000,0.105333,0.336244,0.005420,0.003943,0.010410,0.007516,0.006939,0.008102
