regime,n,frac_total,class_prevalence,mean_ff,ece,ece_ci_lo,ece_ci_hi,brier,brier_ci_lo,brier_ci_hi
under_failure,1295,0.863333,0.000000,0.070167,0.009836,0.007873,0.012059,0.001607,0.001506,0.001706
informative,186,0.124000,0.279570,0.339427,0.086485,0.079624,0.092857,0.009699,0.008650,0.010859
saturated,19,0.012667,1.000000,0.905263,0.074563,0.046983,0.103547,0.010053,0.003846,0.018150
aggregate,1500,1.000000,0.047333,0.114133,0.002767,0.001409,0.005344,0.002718,0.002509,0.002965
